country_code,country_name,region,sub_region,intermediate_region,income_group,organization_name
BTN,BHUTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,,
BOL,BOLIVIA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,
BIH,BOSNIA Y HERZEGOVINA,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),SOUTHERN EUROPE,,,
BWA,BOTSWANA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,SOUTHERN AFRICA,,
BRA,BRASIL,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,
BRN,BRUNEI DARUSSALAM,,SOUTH-EASTERN ASIA,,,
BGR,BULGARIA,,EASTERN EUROPE,,,
BFA,BURKINA FASO,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
BDI,BURUNDI,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
CPV,CABO VERDE,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
KHM,CAMBOYA,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,
CMR,CAMERUN,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,
CAN,CANADA,,NORTHERN AMERICA,,,
TCD,CHAD,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,
CHL,CHILE,,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,
CHN,CHINA,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),EASTERN ASIA,,,
CYP,CHIPRE,,WESTERN ASIA,,,
COL,COLOMBIA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,
COM,COMORAS,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
COG,"CONGO, REPUBLICA DEL",ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,
COD,"CONGO, REPUBLICA DEMOCRATICA DEL",ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,
KOR,"COREA, REPUBLICA DE",,EASTERN ASIA,,,
PRK,"COREA, REPUBLICA POPULAR DEMOCRATICA DE",ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),EASTERN ASIA,,,
CRI,COSTA RICA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,
CIV,COTE D'IVOIRE,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
HRV,CROACIA,,SOUTHERN EUROPE,,,
CUB,CUBA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
CUW,CURACAO,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
DNK,DINAMARCA,,NORTHERN EUROPE,,,
DJI,DJIBOUTI,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
DMA,DOMINICA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
ECU,ECUADOR,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,
EGY,"EGIPTO, REPUBLICA ARABE DE",ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),NORTHERN AFRICA,,,
SLV,EL SALVADOR,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,
ARE,EMIRATOS ARABES UNIDOS,,WESTERN ASIA,,,
ERI,ERITREA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
SVN,ESLOVENIA,,SOUTHERN EUROPE,,,
ESP,ESPANA,,SOUTHERN EUROPE,,,
USA,ESTADOS UNIDOS,,NORTHERN AMERICA,,,
EST,ESTONIA,,NORTHERN EUROPE,,,
SWZ,ESWATINI,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,SOUTHERN AFRICA,,
ETH,ETIOPIA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
RUS,FEDERACION DE RUSIA,,EASTERN EUROPE,,,
FJI,FIJI,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),MELANESIA,,,
PHL,FILIPINAS,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,
FIN,FINLANDIA,,NORTHERN EUROPE,,,
FRA,FRANCIA,,WESTERN EUROPE,,,
GAB,GABON,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,
GMB,GAMBIA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
GEO,GEORGIA,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,
GHA,GHANA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
GIB,GIBRALTAR,,SOUTHERN EUROPE,,,
GRD,GRANADA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
GRC,GRECIA,,SOUTHERN EUROPE,,,
GRL,GROENLANDIA,,NORTHERN AMERICA,,,
GUM,GUAM,,MICRONESIA,,,
GTM,GUATEMALA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,
GIN,GUINEA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
GNQ,GUINEA ECUATORIAL,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,
GNB,GUINEA-BISSAU,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
GUY,GUYANA,,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,
HTI,HAITI,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
HND,HONDURAS,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,
HKG,"HONG KONG, REGION ADMINISTRATIVA ESPECIAL",,EASTERN ASIA,,,
HUN,HUNGRIA,,EASTERN EUROPE,,,
IND,INDIA,ASIA MERIDIONAL,SOUTHERN ASIA,,,
IDN,INDONESIA,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,
IRN,"IRAN, REPUBLICA ISLAMICA DEL",ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),SOUTHERN ASIA,,,
IRQ,IRAQ,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,
IRL,IRLANDA,,NORTHERN EUROPE,,,
IMN,ISLA DE MAN,,NORTHERN EUROPE,,,
MAF,ISLA DE SAN MARTIN (PARTE FRANCESA),,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
ISL,ISLANDIA,,NORTHERN EUROPE,,,
CYM,ISLAS CAIMAN,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
FRO,ISLAS FEROE,,NORTHERN EUROPE,,,
MHL,ISLAS MARSHALL,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),MICRONESIA,,,
SLB,ISLAS SALOMON,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),MELANESIA,,,
TCA,ISLAS TURCAS Y CAICOS,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
VIR,ISLAS VIRGENES (EE.UU.),,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
VGB,ISLAS VIRGENES BRITANICAS,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
ISR,ISRAEL,,WESTERN ASIA,,,
ITA,ITALIA,,SOUTHERN EUROPE,,,
JAM,JAMAICA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
JPN,JAPON,,EASTERN ASIA,,,
JOR,JORDANIA,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,
KAZ,KAZAJSTAN,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),CENTRAL ASIA,,,
KEN,KENYA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
KGZ,KIRGUISTAN,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),CENTRAL ASIA,,,
KIR,KIRIBATI,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),MICRONESIA,,,
KWT,KUWAIT,,WESTERN ASIA,,,
LSO,LESOTHO,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,SOUTHERN AFRICA,,
LVA,LETONIA,,NORTHERN EUROPE,,,
LBN,LIBANO,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,
LBR,LIBERIA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
LBY,LIBIA,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),NORTHERN AFRICA,,,
LIE,LIECHTENSTEIN,,WESTERN EUROPE,,,
LTU,LITUANIA,,NORTHERN EUROPE,,,
LUX,LUXEMBURGO,,WESTERN EUROPE,,,
MKD,MACEDONIA DEL NORTE,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),SOUTHERN EUROPE,,,
MDG,MADAGASCAR,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
MYS,MALASIA,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,
MWI,MALAWI,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
MDV,MALDIVAS,ASIA MERIDIONAL,SOUTHERN ASIA,,,
MLI,MALI,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
MLT,MALTA,,SOUTHERN EUROPE,,,
MNP,MARIANA,,MICRONESIA,,,
MAR,MARRUECOS,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),NORTHERN AFRICA,,,
MUS,MAURICIO,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
MRT,MAURITANIA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
MEX,MEXICO,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,
FSM,MICRONESIA (ESTADOS FEDERADOS DE),ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),MICRONESIA,,,
MCO,MONACO,,WESTERN EUROPE,,,
MNG,MONGOLIA,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),EASTERN ASIA,,,
MNE,MONTENEGRO,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),SOUTHERN EUROPE,,,
MOZ,MOZAMBIQUE,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
MMR,MYANMAR,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,
NAM,NAMIBIA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,SOUTHERN AFRICA,,
NRU,NAURU,,MICRONESIA,,,
NPL,NEPAL,ASIA MERIDIONAL,SOUTHERN ASIA,,,
NIC,NICARAGUA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,
NER,NIGER,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
NGA,NIGERIA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
NOR,NORUEGA,,NORTHERN EUROPE,,,
NCL,NUEVA CALEDONIA,,MELANESIA,,,
NZL,NUEVA ZELANDIA,,AUSTRALIA AND NEW ZEALAND,,,
OMN,OMAN,,WESTERN ASIA,,,
NLD,PAISES BAJOS,,WESTERN EUROPE,,,
PAK,PAKISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,,
PLW,PALAU,,MICRONESIA,,,
PAN,PANAMA,,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,
PNG,PAPUA NUEVA GUINEA,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),MELANESIA,,,
PRY,PARAGUAY,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,
PER,PERU,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,
PYF,POLINESIA FRANCESA,,POLYNESIA,,,
POL,POLONIA,,EASTERN EUROPE,,,
PRT,PORTUGAL,,SOUTHERN EUROPE,,,
PRI,PUERTO RICO,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
QAT,QATAR,,WESTERN ASIA,,,
MAC,"REGION ADMINISTRATIVA ESPECIAL DE MACAO, CHINA",,EASTERN ASIA,,,
GBR,REINO UNIDO,,NORTHERN EUROPE,,,
SYR,REPUBLICA ARABE SIRIA,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,
CAF,REPUBLICA CENTROAFRICANA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,
CZE,REPUBLICA CHECA,,EASTERN EUROPE,,,
MDA,REPUBLICA DE MOLDOVA,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),EASTERN EUROPE,,,
LAO,REPUBLICA DEMOCRATICA POPULAR LAO,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,
DOM,REPUBLICA DOMINICANA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
SVK,REPUBLICA ESLOVACA,,EASTERN EUROPE,,,
PSE,RIBERA OCCIDENTAL Y GAZA,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,
ROU,RUMANIA,,EASTERN EUROPE,,,
RWA,RWANDA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
KNA,SAINT KITTS Y NEVIS,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
WSM,SAMOA,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),POLYNESIA,,,
ASM,SAMOA AMERICANA,,POLYNESIA,,,
SMR,SAN MARINO,,SOUTHERN EUROPE,,,
VCT,SAN VICENTE Y LAS GRANADINAS,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
LCA,SANTA LUCIA,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
STP,SANTO TOME Y PRINCIPE,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,
SEN,SENEGAL,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
SRB,SERBIA,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),SOUTHERN EUROPE,,,
SYC,SEYCHELLES,,SUB-SAHARAN AFRICA,EASTERN AFRICA,,
SLE,SIERRA LEONA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,
SGP,SINGAPUR,,SOUTH-EASTERN ASIA,,,
SXM,SINT MAARTEN (DUTCH PART),,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,
SOM,SOMALIA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
LKA,SRI LANKA,ASIA MERIDIONAL,SOUTHERN ASIA,,,
ZAF,SUDAFRICA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,SOUTHERN AFRICA,,
SDN,SUDAN,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),NORTHERN AFRICA,,,
SSD,SUDAN DEL SUR,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
SWE,SUECIA,,NORTHERN EUROPE,,,
CHE,SUIZA,,WESTERN EUROPE,,,
SUR,SURINAME,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,
THA,TAILANDIA,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,
TZA,TANZANIA,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,
TJK,TAYIKISTAN,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),CENTRAL ASIA,,,
TLS,TIMOR-LESTE,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,
